sos_system,sos_category,legacy_densho_id,facility_name,encyc_url,encyc_article_status,date_opened,date_closed,location_description,legacy_description,peak_population,peak_popdate,peak population all internees,location_name,location_state,geo_latitude,geo_longitude,img_credit_line
wra,Concentration Camp,1,Topaz (Central Utah),https://encyclopedia.densho.org/Topaz/,published,"September 11, 1942","October 31, 1945","The ""Central Utah Relocation Center""—more popularly known at Topaz—was located at a dusty site in the Sevier Desert in central Utah. The second least populous of the WRA camps (to Amache), Topaz had a peak population of 8,130 inmates. Topaz had one of the most urban and most homogeneous populations with nearly its entire inmate population coming from the San Francisco Bay Area. Topaz is perhaps best known as the site of the fatal shooting of an inmate by an overzealous camp sentry in April 1943 and for its art school, which included a faculty roster of notable Issei and Nisei artists. It was also the site of significant protest against registration in the spring of 1943 and of a variety of labor disputes. The Topaz Museum, which opened to the public in 2015, is located in nearby Delta, Utah and today owns much of the land on which the camp had once been built.","Located at 4,600 feet of elevation in west-central Utah, Topaz was set in Millard County near the town of Delta, 140 miles southwest of Salt Lake City. Topaz Mountain was 9 miles northwest. The 19,800 acres of extremely flat terrain were within the Sevier Desert. Dust was a major problem. Temperatures range from 106 degrees in summer to -30 degrees in winter. Vegetation is mainly high desert brush.",8130,1943-03-17,8130,"Delta, Utah",Utah,39.4185387463784,-112.7735380861466,"Courtesy of the National Archives and Records Administration, Ctrl. #: NWDNS-210-G-E11, NARA ARC #: 538676, WRA, Photographer Tom Parker. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i37-00431-1/"
wra,Concentration Camp,2,Poston (Colorado River),https://encyclopedia.densho.org/Poston_(Colorado_River)/,published,"June 2, 1942","November 28, 1945","The ""Colorado River Relocation Center""—more commonly referred to as Poston—was located in the Arizona desert a few miles from the California border. The largest and most populous of the War Relocation Authority (WRA) administered concentration camps (with the exception of post-segregation Tule Lake) with a peak population of nearly 18,000, Poston was unique among WRA camps in a number of ways. First, it was jointly managed by the Office of Indian Affairs (OIA), an arrangement that was troubled and that ended with the OIA withdrawing by the beginning of 1944. Secondly, it was divided into three separate camps arranged in a line about three miles apart. It likely had the most rural population, its inmates hailing mostly from farming areas of southern, central and coastal California. Finally, about 2/3 of its population came directly to Poston without going to an assembly center first, something that set it apart from all other WRA camps with the exception of Manzanar. Poston's Unit I was also the site of a fall 1942 mass strike that was one of two well publicized blow-ups on WRA camps that influenced WRA policies in the years to come.","Located at 320 feet of elevation in southwestern Arizona on the Colorado River Reservation in Yuma County (now La Paz), 12 miles south of the town of Parker. The Colorado River runs 2 1/2 miles to the west. The 71,000 acres in the lower Sonoran desert are near the California border. The harsh climate featured hot and humid summers and cold winter nights. Dust was a constant problem.",17814,1942-09-02,17814,"Parker, Arizona",Arizona,33.98762619602396,-114.4012194032189,"Courtesy of the National Archives and Records Administration , Ctrl. #: NWDNS-210-G-A167, NARA ARC #: 536133, WRA, Photographer Fred Clark. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i37-00475-1/"
wra,Concentration Camp,3,Gila River,https://encyclopedia.densho.org/Gila_River/,published,"July 20, 1942","November 10, 1945","One of two WRA concentration camps located in the Arizona desert and on land belonging to Native American peoples, Gila River was the second most populous of the regular WRA camps with a peak population of 13,348. Gila consisted of two separate camps about four miles apart, which came to be called Canal and Butte, with the latter about twice as large as the former. The population of Gila came almost entirely from California and included a mixture of rural populations from the Central Valley and coast and urban populations from Los Angeles. Included in the population were about 3,000 who came directly there from the ""white zone"" without having gone to an ""assembly center"" first. Due in large part to its unique appearance—barracks at Gila were covered by white beaverboard and topped with red double roofs—Gila was regarded as the model camp and hosted such visitors as Eleanor Roosevelt, who visited in April 1943. Gila had perhaps the most extensive agricultural program of any of the WRA camps; in addition to supplying all of the vegetables consumed at the camp during peak production periods, Gila also supplied 20% of the produce consumed at other WRA camps as well. As one of the key sites of the Japanese American Evacuation and Resettlement Project, Gila was also one of the best documented of the WRA sites.","Located in a valley within the Gila River Indian Reservation in Pinal County, 50 miles south of Phoenix, 3 miles north of the Sacaton Mountains. Consisted of two separate camps: Canal and Butte, located 3.5 miles apart between irrigation canals. The 16,500 acres are in an arid desert valley with average summer temperatures over 100 degrees. Vegetation includes mesquite, creosote, and cactus.",13348,1942-11-30,13348,"Sacaton, Arizona",Arizona,33.07215651719934,-111.8888227381422,"Courtesy of the National Archives and Records Administration, Ctrl. #: NWDNS-210-G-D692, NARA ARC #: 538649, WRA, Photographer Francis Stewart. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i37-00608-1/"
wra,Concentration Camp,1,Granada (Amache),https://encyclopedia.densho.org/Amache_(Granada)/,published,"August 27, 1942","October 15, 1945","The ""Granada Relocation Center""—more commonly referred to today as ""Amache"" after the camp's post office designation—was the least populous of any of the WRA camps. It's inmate population came almost entirely from California and consisted initially of Japanese Americans from the Merced and Santa Anita Assembly Centers, though significant numbers of inmates later transferred from Tule Lake and Jerome. Relative to other camps, there was little overt unrest at Amache, and Amache had a low number of inmates who gave ""no-no"" answers to the ""loyalty questionnaire"" and a large number of volunteers for military service, which fueled its reputation as ""good"" camp. Amache also had a relatively stable administration—it was the only camp to have one director for its entire life—and relatively less contentious relationships with the nearest towns. The bulk of the land the camp was built on is owned by the Town of Granada, and there are a variety of archaeological, interpretive, educational, and preservation related projects ongoing today.","Located at 3,600 feet of elevation on a wind-swept prairie in southeastern Colorado 140 miles east of Pueblo, 16 miles east of Lamar, and 15 miles west of the Kansas border. The Arkansas River runs 2 1/2 miles north of the camp, but the 10,500 acres of land is arid when not irrigated. Vegetation includes wild grasses, sagebrush, and prickly pear cactus.",7318,1943-02-01,7318,"Granada, Colorado",Colorado,38.05578345756824,-102.3293222262865,Courtesy of the Amache Preservation Society. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i206-00001-1/
wra,Concentration Camp,5,Heart Mountain,https://encyclopedia.densho.org/Heart_Mountain/,published,"August 12, 1942","November 10, 1945","The fourth largest camp by peak population, Heart Mountain was at the highest elevation and likely had the coldest weather of any of the WRA camps, which created particular hardships for its mostly Los Angeles and Santa Clara, California, area inmate population. Significant resistance to registration arose at Heart Mountain, and there were several strikes of inmate workers. It also saw the only organized resistance to the draft in any of the WRA camps. Other unique aspects included blocks that were twice as large as those at other camps and being the only camp whose community enterprises were not run as a cooperative. Located near the original site, the Heart Mountain Interpretive Center has told the story of the camp since its opening in 2011.","Located on 46,000 acres in Park County in northwest Wyoming, 12 miles northwest of Cody, in open sagebrush desert at 4,700 feet of elevation near the Shoshone River. Heart Mountain, 8 miles to the west, creates a dramatic backdrop. Dust storms are common. Winters are severe, with lows dipping to -30 degrees.",10767,1943-01-01,10767,"Cody, Wyoming",Wyoming,44.670525,-108.9498194444444,Courtesy of the Heart Mountain Wyoming Foundation and Yoshio Okumoto. Accessed from: https://encyclopedia.densho.org/sources/en-ddr-hmwf-1-15-1/
wra,Concentration Camp,6,Jerome,https://encyclopedia.densho.org/Jerome/,published,"October 6, 1942","June 30, 1944","One of two War Relocation Authority administered concentration camps located less than thirty miles from each other in southeastern Arkansas, Jerome had the distinction of being the last to open and the first to close and was open for less than twenty-one months, far shorter than any other WRA camp. Jerome also had the distinction of receiving over eight hundred inmates directly from Hawai'i, the largest contingent sent to any WRA camp. All of Jerome's initial inmate population was from California, either from the Fresno area, Florin and other areas south of Sacramento, or various areas in Los Angeles County. Due in part to the Hawai'i contingent—along with a sizable ""organized group"" from California who favored repatriation/expatriation to Japan—Jerome had the lowest rate of ""yes"" answers to Question 28, the highest rate of segregants to Tule Lake and the lowest rate of volunteers for the armed forces. Upon Jerome's early closure, most inmates went to either Rohwer or Gila River, with smaller numbers going to Amache or Heart Mountain. Jerome was also known as ""Denson,"" which was the name of the local post office.","Located in the Mississippi River delta region 12 miles west of the Mississippi River, 18 miles south of McGehee, 120 miles southeast of Little Rock. The 10,000-acre area was impoverished and consisted of heavily wooded swampland. It was 27 miles south of the Rohwer incarceration camp. Summers were hot and humid, with chiggers, mosquitoes, and poisonous snakes.",8497,1943-02-11,8497,"Denson, Arkansas",Arkansas,33.41131951904563,-91.46229486564768,Courtesy of the National Archives and Records Administration (Ctrl.#: NWDNS-210-G-E223; NARA ARC#: 538816; WRA; Photographer Tom Parker). Accessed from: https://encyclopedia.densho.org/sources/en-ddr-hmwf-1-15-1/
wra,Concentration Camp,7,Manzanar,https://encyclopedia.densho.org/Manzanar/,published,"June 2, 1942","November 21, 1945","Located in the Owens Valley about 225 north of Los Angeles, Manzanar began its life as the Owens Valley Reception Center, the first of the WCCA-administered camps to open. After about ten weeks under WCCA administration, it officially became a WRA camp on June 1, 1942. Thus, essentially all of Manzanar's 10,000 inmates went directly to Manzanar without passing through another ""assembly center."" Despite having a relatively homogeneous population—nearly 90% of its inmates came from the Los Angeles area—Manzanar was beset with unrest in its first year, culminating with what has been called both a ""riot"" and an ""uprising"" in December 1942 that saw military police firing into a crown resulting the deaths of two inmates. Manzanar also had one of the highest rates of segregation to Tule Lake and one of the lowest rates of volunteers for the military among WRA camps. Undoubtedly the best-known, most photographed, and most visited of the WRA camps, it has been the subject of numerous books, movies and exhibitions. It has been managed since 1992 by the National Park Service as the Manzanar National Historic Site, which runs a museum and many interpretive programs at the site.","Located at 3,900 feet of elevation in the desert of the southern Owens Valley in east-central California, 220 miles north of Los Angeles, 250 miles south of Reno, between the towns Lone Pine and Independence. The 6,000 acres are framed by the Sierra Nevada mountains to the west and the White-Inyo range to the east. Summers are hot, winters cold; annual rainfall is under 6 inches, although the area has rivers fed from mountain runoff. Vegetation is mostly sagebrush.",10046,1942-09-22,10046,"Manzanar, California",California,36.72678949253115,-118.1539953486459,"Courtesy of Library of Congress Prints & Photographs Division, Ansel Adams, Photographer, LC-DIG-ppprs-00283. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i93-00023-1/"
wra,Concentration Camp,8,Minidoka,https://encyclopedia.densho.org/Minidoka/,published,"August 10, 1942","October 28, 1945","Located in south-central Idaho, the euphemistically named ""Minidoka Relocation Center"" held a largely urban population consisting in large part of Japanese Americans from Seattle, Washington, and Portland, Oregon, as well as elsewhere in Oregon. It also housed a small population from Alaska. Known as a ""good"" camp, Minidoka had the second highest percentage of ""yes"" answers to Question 28 and the second lowest rate of segregation to Tule Lake among all War Relocation Authority administered concentration camps. Minidoka also had the highest rate of volunteers for the U.S. Army and most subsequent casualties of any camp. There was however still a fair amount of unrest at Minidoka, especially after the arrival of some 1,500 from Tule Lake as part of the segregation process in the fall of 1943. Numerous work stoppages took place in 1944–45, and as a result, the high school gymnasium started in 1943 was never completed. Its peak population of 9,397 was the sixth most out of the ten WRA camps. Over 13,000 total inmates were incarcerated at Minidoka at some point. The site in managed by the National Park Service today as the Minidoka National Historic Site.","Located at 4,000 feet of elevation on uneven terrain in southern Idaho, Minidoka is in the Snake River Plain of Jerome County, 15 miles east of Jerome and 15 miles north of Twin Falls. The 33,000 acres of arid desert was dominated by sagebrush; the southern boundary of the camp was formed by the man-made North Side canal.",9397,1943-03-01,9397,"Hunt, Idaho",Idaho,42.67791650427422,-114.2512114927423,"Courtesy of the Wing Luke Asian Museum, the Hatate Collection (Number 1992-41-4 R). Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i39-00044-1/"
wra,Concentration Camp,9,Rohwer,https://encyclopedia.densho.org/Rohwer/,published,"September 18, 1942","November 30, 1945","One of two War Relocation Authority concentration camps located in the state of Arkansas, Rowher was among the last to open and the last to close aside from Tule Lake. Its population came almost entirely from California, was predominantly rural, and was almost equally divided between those from the San Joaquin Valley, who came via the Stockton Assembly Center, and those from Los Angeles County, via the Santa Anita Assembly Center. Along with Jerome, Rohwer's location exposed inmates to the unique climate and racial politics of the South, and the camps' relative proximity to Camps Shelby and Robinson led to regular interactions between camp inmates and Nisei soldiers training at the two military facilities. While other WRA camps saw their populations gradually decline as inmates began leaving the camp as early as the fall of 1942, Rohwer's substantially increased in the summer of 1944 when nearly 2,500 inmates transferred over from Jerome after that camp's closure. Restored monuments and headstones at Rohwer's cemetery are among the only remnants of the camp that remain and serve as a place for gathering and memorialization at the site.","Located at 140 feet of elevation in Desha County in southeastern Arkansas, 110 miles southeast of Little Rock and 11 miles north of McGehee. The 10,161 acres of wooded swampland were in an impoverished area 27 miles north of the Jerome incarceration camp. The Mississippi River is 5 miles to the east. Summers are hot and humid, with chiggers and mosquitoes adding to the discomfort. The site had severe drainage problems; about half of the site was under swampy water during the spring.",8475,1943-03-11,8475,"Rohwer, Arkansas",Arkansas,33.76635073468211,-91.275882359956,"Courtesy of the National Archives and Records Administration, Ctrl. #: NWDNS-210-G-C935, NARA ARC #: 538199, WRA, Photographer Gretchen Van Tassel. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i37-00541-1/"
wra,Concentration Camp,10,Tule Lake,https://encyclopedia.densho.org/Tule_Lake/,published,"May 27, 1942","March 20, 1946","Located in California just seven miles from the Oregon border, Tule Lake was the notorious War Relocation Authority ""segregation center"" for inmates from all of the WRA camps who were deemed ""disloyal."" Beset by unrest, the inmates suffered through a range of repressive measures from army occupation to the construction of a separate prison within the camp, to the removal of ""troublemakers"" to Justice Department-run internment camps. Tule Lake didn't close until March 20, 1946. Before becoming the segregation center in the fall of 1943, Tule Lake was like the other nine WRA camps, with a heterogeneous population mostly made up of Japanese Americans from the Pacific Northwest and Central California. The site is now managed by the National Park Service as the Tule Lake National Monument.","Located at an elevation of 4,000 feet on a flat treeless area in Modoc County, 35 miles southeast of Klamath Falls, Oregon, and 10 miles from the town of Tulelake. (The town is spelled as one word and the incarceration camp as two.) Mt. Shasta is 50 miles away and visible on a clear day. The soil is sandy loam; vegetation is sparse grass and sagebrush. Winters are long and cold; summers are hot and dry.",18789,1944-12-25,18789,"Newell, California",California,41.88475715736669,-121.3738301451061,Courtesy of the National Archives and Records Administration. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i37-00239-1/
wra,Temporary Assembly Center,11,Puyallup (Camp Harmony),https://encyclopedia.densho.org/Puyallup_(detention_facility)/,published,"April 28, 1942","September 12, 1942","The Puyallup Assembly Center was built on a fairground about thirty-five miles south of Seattle and served as the short-term incarceration site for nearly all Japanese Americans from Seattle, along with smaller numbers from Pierce County, Washington, and from Alaska. With a peak population of 7,390, it was the third most populous of the dedicated assembly center. Due to the geography of the site, Puyallup was divided into four areas. Areas A, B, and C were built on fairground parking lots, while Area D was built on the fairgrounds itself. The areas were non-contiguous, separated by city streets, meaning that inmates could not easily go from one area to another. This introduced greater difficulties in planning for recreational, religious, or other types of activities. Nearly all of Puyallup's inmate population went on to the Minidoka, Idaho, concentration camp. The camp was in operation for 139 days, from April 27 to September 12, 1942.","Located on the Western Washington State Fairgrounds, 35 miles south of Seattle, Washington.",7390,1942-07-25,7390,"Puyallup, Washington",Washington,47.18424456634575,-122.2939900230675,"Courtesy of Library of Congress Prints & Photographs Division, LC-USZ6-1654. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i217-00021-1/"
wra,Temporary Assembly Center,12,Portland,https://encyclopedia.densho.org/Portland_(detention_facility)/,published,"May 2, 1942","September 10, 1942","The Portland Assembly Center was located on the site of the Pacific International Livestock Exposition Pavilion in North Portland, essentially a series of interconnected buildings under one roof that had been used to house and showcase livestock prior to the war. Inmates there faced extreme heat, fly infestations, foul odors, and extreme crowding even by ""assembly center"" standards. The nearly 3,700 inmates there mostly came from the Portland area and from much of the rest of Oregon with the exception of Hood River and from the Yakima Valley in Washington, a mixture of urban and rural populations. Open for a little over four months, it had one of the more active inmate organizations, ranging from an advisory council that met regularly with camp managers and relatively extensive recreation and education programs. A good number of Portland inmates left the camp for a time to work the eastern Oregon sugar beet fields, presaging the many who would do so from WRA camps in the fall. At the end, Washingtonians were mostly sent to Heart Mountain, while Oregonians went to Minidoka; many inmates who had grown close to other inmates in the camp protested this arrangement, asking in vain to be sent to the same camp.","Located at the eleven-acre Pacific International Livestock Exposition Pavilion in Portland, Oregon.",3676,1942-06-06,3676,"Portland, Oregon",Oregon,45.60688989752562,-122.6898138969299,Courtesy of Densho. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i224-00007-1/
wra,Temporary Assembly Center,13,Marysville,https://encyclopedia.densho.org/Marysville_(detention_facility)/,published,"May 8, 1942","June 29, 1942","The Marysville Assembly Center—also known as ""Arboga""—was built on a migrant worker camp about five miles southeast of Marysville. The least populous "" assembly center "" other than Meyer, Arizona , Marysville had a peak population of just 2,451. Its population came almost entirely from two nearby and mostly rural areas: Placer County, just southeast of Marysville, and Florin, a notable Japanese American agricultural community south of Sacramento. Open for a total of just fifty-three days in May and June of 1942, Marysville had relatively limited recreational programs and no schools to speak of, along with some of the worst physical conditions of any assembly center: heat and humidity, a serious mosquito problem, and unpartitioned pit toilets, among other things. Essentially the entire population of the camp was transferred to Tule Lake in the last week of June.","Located about 8 miles south of Marysville, California. Late spring rains delayed the camp's opening from the slated date of April 16, 1942.",2451,1942-06-02,2451,"Marysville, California",California,39.04751108975582,-121.5712148555736,Courtesy of Densho. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i224-00002-1/
wra,Temporary Assembly Center,14,Sacramento (Walerga),https://encyclopedia.densho.org/Sacramento_(detention_facility)/,published,"May 6, 1942","June 26, 1942","Open for just fifty-two days—but with most inmates spending only around a month there—the Sacramento Assembly Center had the shortest lifespan of any "" assembly center "" other than Mayer , Arizona. The inmate population that peaked at 4,739 came almost entirely from the Sacramento area, and conflicts and discord within that community came into the camp, where discord between the appointed inmate leadership and the general population emerged. Inmates also faced particularly poor conditions including pit latrines and buildings that were misshapen due to the uneven ground and poor construction, as well as a camp that was largely unfinished as inmates moved in. Essentially the entire population of the camp—which was also known as ""Walerga""—was transferred to Tule Lake by the end of June 1942.","Located 15 miles northeast of downtown Sacramento, California.",4739,1942-05-30,4739,"Sacramento, California",California,38.66844828776156,-121.3511131107349,"Courtesy of the National Archives and Records Administration, Ctrl. #: NWDNS-210-G-C483, NARA ARC #: 537796, WRA, Photographer Dorothea Lange. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i151-00027-1/"
wra,Temporary Assembly Center,15,Tanforan,https://encyclopedia.densho.org/Tanforan_(detention_facility)/,published,"April 28, 1942","October 13, 1942","The Tanforan Assembly Center was located on the site of the Tanforan Racetrack in San Bruno, California. It was the second largest of the temporary WCCA camps, located 20 miles south of San Francisco, near the San Francisco International Airport. The camp was occupied from April 28 to October 13, 1942, a total of 171 days. Holding Japanese Americans mostly from the San Francisco Bay Area, its peak population was 7,816. All in all, 8,033 Americans of Japanese ancestry were incarcerated at Tanforan, 64 per cent of whom were U.S. citizens. About half of the inmates lived in former horse stalls. 98 per cent of the 7,824 Japanese Americans in Tanforan who were transferred to ""relocation centers"" were sent to the Central Utah WRA camp also known as Topaz. The site was subsequently used as a training camp by the VII Army Corps. A shopping center sits on the site today, a small historical marker commemorating its World War II history.","Located 12 miles south of San Francisco, California.",7816,1942-07-25,7816,"San Bruno, California",California,37.63639350072774,-122.4178663033512,"Courtesy of WRA no. C-141, War Relocation Authority Photographs of Japanese-American Evacuation and Resettlement, The Bancroft Library, University of California, Berkeley. Accessed from: https://encyclopedia.densho.org/sources/en-tanforan-3/"
wra,Temporary Assembly Center,16,Stockton,https://encyclopedia.densho.org/Stockton_(detention_facility)/,published,"May 10, 1942","October 17, 1942","The Stockton Assembly Center was built on the site of the San Joaquin County Fairgrounds southeast of downtown Stockton. Inmates lived in newly constructed barracks located both within the fairgrounds racetrack and adjacent to it. Nearly its entire inmate population came from Stockton, Lodi and surrounding farming areas in San Joaquin County. The first advance inmate groups arrived on May 10, 1942, and the camp's peak population of 4,271 was reached just eleven days later. The camp remained in operation for over five months, making it one of the longest running of the assembly centers and resulting in a relatively more robust inmate-run educational program. Essentially the entire population of Stockton went to Rohwer , with a small number of tuberculosis patients and their families going instead to Gila River .","Located at the San Joaquin County Fairgrounds in Stockton, California.",4271,1942-05-21,4271,"Stockton, California",California,37.93729616824986,-121.267282529392,"Courtesy of WRA no. C-395, War Relocation Authority Photographs of Japanese-American Evacuation and Resettlement, The Bancroft Library, University of California, Berkeley. Accessed from: https://encyclopedia.densho.org/sources/en-stockton-1/"
wra,Temporary Assembly Center,17,Turlock,https://encyclopedia.densho.org/Turlock_(detention_facility)/,published,"April 30, 1942","August 12, 1942","The Turlock Assembly Center had the third smallest peak population among "" assembly centers ,"" at 3,662 and was open for 105 days, from April 30 to August 12, 1942. Built on the site of the Stanislaus County Fairgrounds in Turlock, its inmate population was one of the most diverse of any ""assembly center"" and mostly consisted of people who had to travel a substantial distance to get there. The main population groups included contingents from Vacaville and other parts of Solano County, the San Francisco Bay Area (particularly the East Bay), Little Tokyo in Los Angeles, and Walnut Grove. The entire population eventually transferred to the Gila River , Arizona, War Relocation Authority concentration camp. Still the site of the fairgrounds, a small historical marker and two storyboards memorialize the site today.","Located in the town of Turlock, California.",3661,1942-06-02,3661,"Turlock, California",California,37.50179351452003,-120.858163760034,Courtesy of Densho. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i224-00013-1/
wra,Temporary Assembly Center,18,Salinas,https://encyclopedia.densho.org/Salinas_(detention_facility)/,published,"April 27, 1942","July 4, 1942","The Salinas Assembly Center was located at the Salinas Race Track and Fair Grounds at the north end of Salinas. The third least populous of the "" assembly centers "" with a peak population of 3,594, its inmate population consisted almost entirely of Japanese Americans from nearby agricultural communities including Watsonville, Salinas, and Gilroy. Despite being open for a short sixty-nine days (April 27 to July 4, 1942), it had an active community government under camp manager E. A. Rose and many recreational and educational programs. Nearly the entire population of the camp was transferred on to Poston between June 28 and July 4, 1942.","Located at the north end of the town of Salinas, California.",3586,1942-06-23,3586,"Salinas, California",California,36.69115184830009,-121.651304132748,"Courtesy of WRA no. C-68, War Relocation Authority Photographs of Japanese-American Evacuation and Resettlement, The Bancroft Library, University of California, Berkeley. Accessed from: https://encyclopedia.densho.org/sources/en-salinas-1/Courtesy of WRA no. C-68, War Relocation Authority Photographs of Japanese-American Evacuation and Resettlement, The Bancroft Library, University of California, Berkeley"
wra,Temporary Assembly Center,19,Merced,https://encyclopedia.densho.org/Merced_(detention_facility)/,published,"May 6, 1942","September 15, 1942","The Merced Assembly Center, built on the Merced County Fairgrounds property, was populated from May 6 to September 15, 1942, a total of 133 days, and had a peak population of 4,508, making it near the median among "" assembly centers "" in both categories. The inmates came mostly from rural areas and small towns in Central California as well as north coastal areas above San Francisco. They were housed in just under two hundred hastily built barracks east of the racetrack. As with other Central California assembly centers, inmates battled intense heat and insects as well the usual cramped quarters, lines, and lack of privacy. Essentially the entire population went to the Amache , Colorado, concentration camp in September. A memorial dedicated in 2010 stands at the site of the camp today.",Located in California's central San Joaquin Valley within the town of Merced at the county fairgrounds; the buildings were sited south of the fairgrounds proper.,4508,1942-06-03,4508,"Merced, California",California,37.2922985835873,-120.4815394613918,Courtesy of Densho. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i247-00001-1/
