sos_system,sos_category,legacy_densho_id,facility_name,encyc_url,encyc_article_status,date_opened,date_closed,location_description,legacy_description,peak_population,peak_popdate,peak population all internees,location_name,location_state,geo_latitude,geo_longitude,img_credit_line
wra,Temporary Assembly Center,20,Pinedale,https://encyclopedia.densho.org/Pinedale_(detention_facility)/,published,"May 7, 1942","July 23, 1942","Pinedale Assembly Center was located in Fresno, California, eight miles north of downtown and just twelve miles from the Fresno Assembly Center . Pinedale was somewhat unique among assembly centers in that most of its population came from far away. Most came from Washington state; nearly all of the Japanese Americans removed from the western part of the state except for those from the city of Seattle came to Pinedale, along with the population of Hood River, Oregon. The remainder of the population, about 15%, came from the Sacramento area. Medium sized among assembly centers with a peak population of around 4,800, Pinedale was operational for a short 78 days, from May 7 to July 23. As such, it was relatively limited in the scope of its institutions, in particular having very limited educational programs and medical facilities. It was also unusual for an assembly center in that all of the buildings for it were newly constructed, as it did not make use of any existing facilities. The summer heat was a major issue among inmates, particularly since its population mostly came from the much cooler Pacific Northwest. For the most part, the Pacific Northwest people were subsequently sent to Tule Lake , while the California people went to Poston .","Located 8 miles north of downtown Fresno, California.",4792,1942-06-29,4792,"Pinedale, California",California,36.84437735635104,-119.8044273763797,Courtesy of Densho. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i224-00005-1/
wra,Temporary Assembly Center,21,Fresno,https://encyclopedia.densho.org/Fresno_(detention_facility)/,published,"May 6, 1942","October 30, 1942","The Fresno Assembly Center, built on the site of the Fresno County Fairgrounds just east of downtown Fresno, was populated from May 6 to October 30, a total of 177 days, making it one of the longest running assembly centers and the last to close. Its population came almost entirely from the Central Valley, including the city and county of Fresno as well as Kings County, Tulare County and part of the Florin/Elk Grove community south of Sacramento. Medium sized among assembly centers in population with a peak of 5,120, it was located only about twelve miles from the Pinedale Assembly Center . Nearly its entire population was transferred to the Jerome , Arkansas WRA concentration camp.",Located at the Fresno County Fairgrounds in central California.,5120,1942-09-04,5120,"Fresno, California",California,36.73338487706776,-119.7472619407948,Courtesy of Densho. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i224-00001-1/
wra,Temporary Assembly Center,22,Tulare,https://encyclopedia.densho.org/Tulare_(detention_facility)/,published,"April 20, 1942","September 4, 1942","Tulare was a temporary detention camp, located in the Southern San Joaquin Valley, half-way between Fresno and Bakersfield, on the outskirts of the city of Tulare (pop. 10,000). It was built on grounds formerly used by the Tulare-Kings County Fair. The camp was occupied from April 27 to September 4, 1942, a total of 131 days. It housed 5,061 Nikkei (with a maximum at one time of 4,978), mostly from the coastal counties north of Los Angeles. There were about 100 barracks within the fairgrounds and another 55 barracks to the south of the fairgrounds adjacent to the county hospital. After spending about four months in the camp most Nikkei were deported to the Gila River camp in Southern Arizona. The grounds were thereafter occupied by African American soldiers of the 7th Army Corps.",Located in the southern San Joaquin Valley of California.,4978,1942-08-11,4978,"Tulare, California",California,36.19893740683506,-119.3420855382406,Courtesy of Densho. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i224-00012-1/
wra,Temporary Assembly Center,23,Santa Anita,https://encyclopedia.densho.org/Santa_Anita_(detention_facility)/,published,"March 27, 1942","October 27, 1942","Located at the Santa Anita Racetrack in the city of Arcadia, approximately thirteen miles northeast of downtown Los Angeles and twenty miles west of the Pomona Assembly Center , Santa Anita was occupied from March 27 until October 27, 1942, a total of 215 days. Santa Anita was the largest and the longest-occupied of the temporary WCCA camps. Its peak population was 18,719. Over 8,500 Japanese Americans lived in converted horse stalls at the racetrack. It was the only WCCA camp to run a camouflage net factory , operated under military contract. The majority of Santa Anita's inmates were eventually transferred to Heart Mountain , Rohwer , Amache , and Jerome .","Located at the world-famous Santa Anita Racetrack in Arcadia, California.",18719,1942-08-23,18719,"Arcadia, California",California,34.14056064351376,-118.0444206861681,"Courtesy of WRA no. -407, War Relocation Authority Photographs of Japanese-American Evacuation and Resettlement, The Bancroft Library, University of California, Berkeley. Accessed from: https://encyclopedia.densho.org/sources/en-santaanita-1/"
wra,Temporary Assembly Center,24,Pomona,https://encyclopedia.densho.org/Pomona_(detention_facility)/,published,"May 7, 1942","August 24, 1942","The Pomona Assembly Center was located on the Los Angeles County Fairgrounds (Fairplex), California, about thirty miles east of downtown Los Angeles and only twenty miles east of the Santa Anita Assembly Center . Most of its population came from Los Angeles, San Francisco and Santa Clara Counties in California. With a peak population of 5,434, Pomona was operational for 110 days, from May 7 to August 24, 1942. Almost all inmates were sent for long-term confinement to the Heart Mountain , Wyoming War Relocation Authority camp. The camp was afterwards used by the Third Battalion, 56th Quartermaster Regiment, which was already using the adjoining Pomona Fairgrounds.",Located at the Los Angeles County Fairgrounds (Fairplex) in Southern California.,5434,1942-07-20,5434,"Pomona, California",California,34.08138333333333,-117.7641756515293,"Courtesy of the National Archives and Records Administration, Ctrl. #: NWDNS-210-G-B88, NARA ARC #: 536837, WRA, Photographer Clem Albers. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i37-00571-1/"
wra,Temporary Assembly Center,25,Mayer,https://encyclopedia.densho.org/Mayer_(detention_facility)/,published,"May 7, 1942","June 2, 1942","The Mayer Assembly Center was the smallest of all ""assembly centers"" and the one open for the shortest time, a mere twenty-seven days. It held Japanese Americans forcibly removed from the restricted areas of the state of Arizona numbering fewer than 250. It was built on the site of a former Civilian Conservation Corps camp about twenty-five miles southeast of Prescott, Arizona. The first inmates arrive at Mayer on May 7, 1942. Inmates from Mayer were all transferred to the Poston, Arizona, concentration camp on June 2, 1942","Located 75 miles northwest of Phoenix, Arizona, Mayer was set on land that was originally farmland.",245,1942-05-25,245,"Mayer, Arizona",Arizona,34.39845,-112.2293472222222,"Courtesy of Sharlot Hall Museum Library/Archives, Prescott, Arizona. Accessed from: https://www.nps.gov/parkhistory/online_books/anthropology74/ce16c.htm"
eais,Department of Justice Internment Camp,27,Santa Fe,https://encyclopedia.densho.org/Santa_Fe_(detention_facility)/,published,February 1942,September 1946,"The Santa Fe Internment Camp held the largest number of Japanese American internees of any of the internment camps run by the Immigration and Naturalization Service (INS) or the army. Santa Fe initially held Issei men from the West Coast who had been arrested in the days and weeks after the attack on Pearl Harbor starting in March 1942. After their hearings, these men were released or paroled to other camps, with Santa Fe closing for the first time in September 1942. The camp reopened in March of 1943 when the army began transferring civilian internees back to INS camps. In 1945, Nisei/Kibei renunciants and Issei from Tule Lake were transferred to Santa Fe, and the population grew to over 2,000. By the time the camp closed for good in May of 1946, 4,555 Japanese American male internees had passed through Santa Fe. A marker overlooking the site of the camp was dedicated in 2002, capping a contentious process that saw vocal local opposition.","Located 2.5 miles west of the Santa Fe city center, this 80-acre site in northern New Mexico included a Civilian Conservation Corps (CCC) camp.",2100,1945-06-01,2100,"Santa Fe, New Mexico",New Mexico,35.69326303561273,-105.9595504336962,Courtesy of the Japanese American National Museum. Accessed from: http://www.discovernikkei.org/en/events/2012/04/14/3580/
eais,Department of Justice Internment Camp,28,Fort Lincoln (Bismarck),https://encyclopedia.densho.org/Fort_Lincoln_(Bismarck)_(detention_facility)/,published,"December 7, 1941","March 6, 1946","Located on a former military post and CCC camp outside of Bismarck, North Dakota, the Fort Lincoln internment camp held a total of 3,850 internees of German and Japanese descent. There were two distinct groups of Japanese American internees. The first consisted of over 1,100 Issei community leaders from the West Coast who arrived in February 1942 before being transferred to other camps later that summer and fall. Three years later, in February 1945, the second group arrived, consisting of over 750 inmates who were thought to be fomenting unrest at Tule Lake. Most were young Nisei who had renounced their American citizenship. Most sailed for Japan at the end of 1945, while others were transferred to Santa Fe. The camp closed on March 6, 1946. The site is now part of the campus of United Tribes Technical College.","Located in Morton County, 5 miles south of Bismarck, North Dakota, on a U.S. Army base.",1100,1942-02-01,1500,"Bismarck, North Dakota",North Dakota,46.76695172532246,-100.758176153208,Courtesy of GAIC - John Christgau Collection. Accessed from: https://gaic.info/internment-camps/u-s-department-of-justice-internment-facilities/fort-lincoln-bismarck-north-dakota/
eais,Department of Justice Internment Camp,29,Crystal City,https://encyclopedia.densho.org/Crystal_City_(detention_facility)/,published,March 1943,January 1948,"Located in Zavala County, Texas just fifty miles from the Mexican border, the Crystal City Internment Camp was an INS camp that housed families who were mostly of German or Japanese descent. A large portion of its population consisted of Japanese and German Latin Americans who had been removed from their homes and brought to the U.S. Most of the Japanese Americans held at Crystal City were those who had expressed a desire to be repatriated/expatriated to Japan. One of the largest of the internment camps, Crystal City held over 3,000 people at the end of 1945, about 2/3 of whom were of Japanese descent. It was the last of the internment camps to close, not shutting down until February 27, 1948.","Located in Zavala County in South Texas, 170 miles west of Corpus Christi. Semiarid grasslands with an average annual rainfall of about 21 inches. Summers are hot and humid, with temperatures exceeding 100 degrees.",2500,,4000,"Crystal City, Texas",Texas,28.69230214940634,-99.8225384119298,"Courtesy of California State University, Sacramento, Department of Special Collections and University Archives. Accessed from: https://ddr.densho.org/ddr-csujad-55-1507/"
eais,Department of Justice Internment Camp,30,Fort Missoula,https://encyclopedia.densho.org/Fort_Missoula_(detention_facility)/,published,"December 18, 1941","July 1, 1944","Army fort that became a Justice Department run internment camp during World War II that held both stranded Italian seamen and Japanese internees. Over a thousand mostly Issei male internees spent time at Missoula in two main groups. The first, consisting mostly of Issei leaders from the West Coast, began arriving shortly after the attack on Pearl Harbor and were mostly transferred to other camps by the summer of 1942. A second group, which included Issei from Hawaii and Japanese Latin Americans, began arriving in the spring of 1943, many remaining until the closing of the camp on July 1, 1944.","Located at an old U.S. Army post on the southwest edge of Missoula, Montana, that was turned over to the Department of Justice (DOJ) in 1941. Missoula is in western Montana.",1000,,2000,"Missoula, Montana",Montana,46.84043491562001,-114.055016514609,"Courtesy of the K. Ross Toole Archives, University of Montana at Missoula (Number 84-295, Pierce Coll.). Accessed from: https://encyclopedia.densho.org/sources/en-ddr-densho-44-3-1/"
wra,Citizen Isolation Center,31,Moab Isolation Center,https://encyclopedia.densho.org/Moab_(detention_facility)/,published,"January 11, 1943","April 27, 1943","WRA detention facility established after ther Manzanar riot/uprising of December 1942 to hold Nisei and Kibei inmates that camp administrators viewed as ""troublemakers"" whom they wanted to remove from general camp populations. Built at a former CCC facility in southeastern Utah, Moab was in operation for about three-and-a-half months, at which point its inmate population was moved to Leupp, a larger facility in Arizona.","Located at Dalton Wells, 13 miles north of Moab in southeastern Utah. Summer temperatures reach the high 90s. Vegetation included sagebrush, tumbleweed, cottonwood, and tamarisk trees. The drab and desolate area was used for stock grazing.",83,,83,"Dalton Wells, Utah",Utah,38.71270330742467,-109.7009066899098,Courtesy of Louthan 1993. Accessed from: https://www.nps.gov/parkhistory/online_books/anthropology74/ce14.htm
wra,Citizen Isolation Center,32,Leupp,https://encyclopedia.densho.org/Leupp_(detention_facility)/,published,"April 27, 1943","December 2, 1943","High security WRA detention facility for Nisei and Kibei inmates that camp administrators viewed as ""troublemakers"" whom they wanted to remove from general camp populations. Larger and more prison-like than its predecessor, the Moab (Utah) Isolation Center, Leupp was located in northeastern Arizona and was in operation for a little over six months in 1943. Alarmed by the arbitrary way that WRA camp directors were choosing inmates to send to Leupp, Leupp administrators appealed to the national WRA leadership, which ultimately decided to close the camp in December 1943, sending its remaining inmates to the segregation center at Tule Lake.","The Leupp camp, in the high desert of northeastern Arizona about 30 miles northwest of Winslow, was located at an abandoned Navajo Indian Reservation boarding school.",100,,50 to 100,"Leupp, Arizona",Arizona,35.29756034335197,-110.9905412770152,Courtesy of Museum of Northern Arizona Photo Archives. Accessed from: https://www.nps.gov/parkhistory/online_books/anthropology74/ce14b.htm
wra,U.S. Federal Prison,33,McNeil Island Federal Penitentiary,https://encyclopedia.densho.org/McNeil_Island_Penitentiary_(detention_facility)/,published,"July 10, 1944",April 1947,"Federal prison facility on an island in Puget Sound, Washington, at which around eighty-five Nisei draft resisters from Heart Mountain and Minidoka served their sentences.","Work prison located on an island in the southern portion of Puget Sound, 10 miles southwest of Tacoma, Washington. Currently a medium-security state correctional facility holding about 1,000 male inmates.",85,,85,"McNeil Island, Washington",Washington,47.19720826967585,-122.6584119573263,"Courtesy of the National Archives and Records Administration (Ctrl.#: NRIS-129-MCNEILPHOTOS-HIST1; NARA ARC#: 299516; Department of Justice, Bureau of Prisons). Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i37-00839-1/"
eais,U.S. Army Internment Camp,34,Lordsburg,https://encyclopedia.densho.org/Lordsburg_(detention_facility)/,published,"June 15, 1942",1944,"The Lordsburg Internment Camp was the largest of the army-run internment camps holding Japanese Americans in the continental U.S. and the only one specifically built to house enemy aliens. It was located outside the small town of Lordsburg, New Mexico in the southwest corner of the state, at an elevation of about 4,000 feet. Lordsburg operated as an internment camp for about a year, from June 1942 to June 1943, and had a peak population of about 1,500. While most of the internees were from the continental U.S., there was a substantial contingent from Hawai'i, as well as a handful from Alaska. Two Issei internees were shot and killed in July 1942 while walking to the camp from the train; there was also a bitter dispute between internees and camp administrators over forced manual labor outside of the camp in the first few months. Over time, internees established a community that included a newspaper, religious services, and recreational activities such as gardening, arts and crafts, performing arts, and sports. In the spring and summer of 1943, internees were moved in groups to camps run by the Justice Department—most to one in Santa Fe—in order to clear room for prisoners of war. Lordsburg subsequently held as many as 4,000 Italian and German POWs.","Located on 1,300 acres of desert land near Lordsburg in southwest New Mexico.",1500,,1500,"Lordsburg, New Mexico",New Mexico,32.30823447113556,-108.6541855457783,Courtesy of Confinment And Ethnicity via National Parks Service. Accessed from: https://www.nps.gov/parkhistory/online_books/anthropology74/ce17l.htm
eais,Department of Justice Internment Camp,35,Fort Stanton,https://encyclopedia.densho.org/Fort_Stanton_(detention_facility)/,published,March 1945,October 1945,"Former CCC camp in southern New Mexico that was initially used to intern German seamen and later more troublesome German internees transfered from other detention facilities. In 1945, it was used as segregation camp for Nikkei dissidents transferred from Santa Fe.","The Fort Stanton Internment Camp in central New Mexico was the first detention facility opened by the Immigration and Naturalization Service and mostly held German seamen and German enemy aliens. In 1945, it became a secret detention camp where seventeen Nikkei inmates removed from the Santa Fe camp for disciplinary reasons were held for around six months.",17,,650,"Fort Stanton, New Mexico",New Mexico,33.49766453311105,-105.5289017945782,Courtesy of fortstanton.org. Accessed from: https://www.fortstanton.org/internment-camp
wra,U.S. Federal Prison,36,Tucson Federal Prison Camp,https://encyclopedia.densho.org/Tucson_(detention_facility)/,published,,,"The Tucson Federal Prison Camp, also known as the Catalina Federal Honor Camp, was a minimum-security honor camp built to house trustee-level felons. Originally built due to an agreement between the Bureau of Prisons, the Bureau of Public Roads, and the Arizona Highway Commission to use prison labor to build a new highway into the Catalina mountains outside of Tucson, Arizona, this prison housed war-resisters of various backgrounds during World War II. Most notably, Gordon Hirabayashi served his prison sentence for violating curfew and exclusion orders after he lost his appeal to the Supreme Court in 1943, followed by forty-one Nisei who served between six and twenty-four-month sentences for Selective Service violations in 1944. The site of the former prison, which is located on the Coronado National Forest, was renamed in 1999 the Gordon Hirabayashi Recreation Site.","Located in the Santa Catalina Mountains, northeast of Tucson, Arizona. The camp was established in 1939 within southern Arizona's Coronado National Forest to provide prison labor to build mountain highways.",46,,46,"Santa Catalina Mountains, Arizona",Arizona,32.33805850739616,-110.7186268736653,"Courtesy of the Eastern California Museum, County of Inyo and the Ralph P. Merritt Collection. Accessed from: https://encyclopedia.densho.org/sources/en-ddr-densho-343-6-1/"
wra,Additional Facility,37,Cow Creek,https://encyclopedia.densho.org/Cow_Creek_(detention_facility)/,published,"December 10, 1942","February 15, 1943","A former CCC camp in Death Valley National Monument that was used to segregate sixty-six Manzanar inmates removed for their own protection from that camp after the riot/uprising of December 6, 1942. The camp remained open a little more than two months, with the inmates released to points east once they had secured jobs and housing.","Located in the desert of California near the Death Valley National Monument, one of the hottest places on Earth. Summer temperatures stay well over 100 degrees. Death Valley encompasses the lowest point in the Western Hemisphere at 282 feet below sea level and is the driest place in North America with an average rainfall of only 1.96 inches a year.",66,,66,"Cow Creek, California",California,36.50311747061899,-116.868988272365,"Courtesy Confinement and Ethnicity, Walls 1987. Accessed from: https://www.nps.gov/parkhistory/online_books/anthropology74/ce17d.htm"
eais,Department of Justice Internment Camp,38,Kenedy,https://encyclopedia.densho.org/Kenedy_(detention_facility)/,published,"April 1, 1942",September 1945,"Former CCC camp used by the INS to hold up to 2,000 male internees of Japanese, German, or Italian descent who had been deported from Latin American countries and sent to the U.S.","Located 50 miles southeast of San Antonio, Texas, in Karnes County on the site of a closed Civilian Conservation Corps (CCC) camp.",700,1943-10-01,2000,"Kenedy, Texas",Texas,28.80504331984485,-97.84714810794408,"Courtesy of Confinement and Ethnicity, Kelsey 1997. Accessed from: https://www.nps.gov/parkhistory/online_books/anthropology74/ce15a1.htm"
wra,Additional Facility,39,Antelope Springs,https://encyclopedia.densho.org/Antelope_Springs_(detention_facility)/,published,June 1943,August 1943,Recreational camp located in the mountains forty miles west of Topaz that was used by Topaz teenagers for organized camping trips in the summer of 1943.,"Located in a sparse pinyon and juniper forest at an elevation of 7,400 feet at the base of the 9,669-foot Swasey Peak, part of the House Range in western Utah. The closest town is Delta.",75,Summer 1943,75,"Antelope Springs, Utah",Utah,39.37037567332845,-113.2921784732343,"Courtesy of Confinement and Ethnicity, Walls 1987. Accessed from: https://www.nps.gov/parkhistory/online_books/anthropology74/ce17m.htm"
eais,U.S. Army Internment Camp,40,Fort Sill,https://encyclopedia.densho.org/Fort_Sill_(detention_facility)/,published,April 1942,"May 31, 1942","Detention facility in southwest Oklahoma that held Issei men from Hawai'i and from the continental U.S. as well as a group of Japanese Panemanians for around two months in the spring of 1942. One the Hawai'i internees, Kanesaburo Oshima, was shot to death by a guard. The entire population of the camp was transferred to Camp Livingston, Louisiana at the end of May 1942.","Located in Comanche County, 3 miles north of Lawton, Oklahoma, southwest of Oklahoma City. The camp saw unusually strong windstorms in the spring and scorching hot temperatures in the summer.",700,1942-05-04,700,"Fort Sill, Oklahoma",Oklahoma,34.65657324315622,-98.41612884160506,"Courtesy of Confinement and Ethnicity, Walls 1987. Accessed from: https://www.nps.gov/parkhistory/online_books/anthropology74/ce17m.htm"
eais,U.S. Army Internment Camp,41,Stringtown,https://encyclopedia.densho.org/Stringtown_(detention_facility)/,published,,,"Subprison facility in southeastern Oklahoma that was mostly used to hold German internees and later prisoners of war. Some sources also indicate that Issei were held here as well, though who they were and when they were held there is unclear.","Located 5 miles north of Stringtown in southern Oklahoma. Currently a medium-security facility, the Mack Alford Correctional Center.",25,,400,"Stringtown, Oklahoma",Oklahoma,34.52534259431681,-96.0365278580053,Courtesy of Confinment And Ethnicity via National Parks Service. Accessed from: https://www.nps.gov/parkhistory/online_books/anthropology74/ce17n.htm
hawaii,U.S. Army Internment Camp,42,Sand Island,https://encyclopedia.densho.org/Sand_Island_(detention_facility)/,published,December 1941,"March 1, 1943","Army-run internment facility in Honolulu Harbor that was the main detention facility in the Territory of Hawai'i for fifteen months starting from December 1941. While most of its internees—most of whom were Japanese immigrant leaders in Hawai'i but which also included some U.S. citizens and some of German, Italian, or other European ancestry—were transferred to camps in the continential U.S., those that remained in March of 1943 were transferred to Honouliuli, a newly built inland site. Later in the war, Sand Island held Italian and Korean prisoners of war.",Located on a five-acre facility near Honolulu Harbor in Hawaii.,450,,450,"Sand Island, Oahu, Hawaii",Oahu,21.30542039095254,-157.8778104928795,Courtesy of CCH/U.S. Army Signal Corps Collection. Accessed from: https://www.hawaiiinternment.org/untold-story/untold-story
wra,U.S. Federal Prison,43,Leavenworth Federal Penitentiary,https://encyclopedia.densho.org/Leavenworth_(detention_facility)/,published,,,,"Located 15 miles northwest of Kansas City. At 1,583 square acres, it is currently the largest maximum-security prison in the U.S., housing about 2,000 inmates.",37,,37,"Leavenworth, Kansas",Kansas,39.3308952715889,-94.9363717482821,Courtesy of Kansas Historical Society. Accessed from: https://www.kshs.org/km/items/view/307662
eais,U.S. Army Internment Camp,44,Camp McCoy,https://encyclopedia.densho.org/Camp_McCoy_(detention_facility)/,published,Early March 1942,Late May 1942,Army-run internment camp that held Issei from Hawai'i  in the spring of 1942 and later held Japanese and German prisoners of war. Camp McCoy also served as a training site for the 100th Infantry Battalion made of up of Nisei from Hawai'i starting in June 1942.,"Located 9 miles west of Tomah and 92 miles northwest of Madison, Wisconsin.",293,1942-03-01,,"Camp McCoy, Wisconsin",Wisconsin,44.0149067377436,-90.70170524656676,Courtesy of Badger Challenge 1999. Accessed from: https://www.nps.gov/parkhistory/online_books/anthropology74/ce17p.htm
eais,Immigration Detention Station,45,Ellis Island,https://encyclopedia.densho.org/Ellis_Island_(detention_facility)/,published,"December 1, 1941",June 1944,"INS detention station that held at least 440 Issei (including a few women as well as a few Nisei) rounded up in New York and environs after the Japanese attack on Pearl Harbor. Most of those held there were German nationals, some of whom remained incarcerated until 1948.","Immigration and Naturalization Service (INS) detention station located on Ellis Island, a mostly artificial island of 27 acres in Upper New York Bay.",440,1941-12-01,830,"Ellis Island, New York",New York,40.69971274220519,-74.04039700206521,"Courtesy of California Museum of Photography, University of California, Riverside. Accessed from: https://www.nps.gov/parkhistory/online_books/anthropology74/ce17a.htm"
wra,Additional Facility,46,Tulelake,https://encyclopedia.densho.org/Tule_Lake_isolation_center_(detention_facility)/,published,March 1943,October 1943,"WRA isolation center built on a former CCC camp site about ten miles from Tule Lake that held Tule Lake dissidents who had refused to answer the ""loyalty questionnaire"" in March 1943. The site was later used to house Nikkei workers from other camps brought in by the WRA to serve as strikebreakers when Tule Lake inmates went on strike in October 1943. Later in the war, the camp was used to house German POWs who performed paid farm labor for local farmers.",Located 5 miles west of the Tule Lake incarceration camp in the Tulelake-Butte Valley of Siskiyou County in northeastern California. Tulelake is southeast of Klamath Falls and northeast of Mt. Shasta.,100,,50 to 100,"Tulelake, California",California,41.96847336377842,-121.5674864271444,Courtesy of National Park Service. Accessed from: https://www.nps.gov/tule/index.htm
eais,U.S. Army Internment Camp,47,Camp Forrest,https://encyclopedia.densho.org/Camp_Forrest_(detention_facility)/,published,"May 28, 1942","June 29, 1942","A large army training facility during World War II, Camp Forrest, Tennessee, also had an internment/POW camp that operated from mid-1942. A group of around 190 Japanese American internees from Hawai'i spent about a month at this camp in May and June of 1942. The camp also held up to 700 German American internees, as well and German (and possibly Italian) POWs.","U.S. Army internment camp located in a wooded area of rural Tennessee, 70 miles south of Nashville.",190,May–June 1942,700,"Tullahoma, Tennessee",Tennessee,35.36386752738123,-86.18545537150477,Courtesy of the U.S. Air Force. Accessed from: https://encyclopedia.densho.org/sources/en-ddr-densho-35-131-1/
eais,Department of Justice Internment Camp,48,Seagoville,https://encyclopedia.densho.org/Seagoville_(detention_facility)/,published,"April 12, 1942","June 30, 1945","Women's prison outside of Dallas, Texas, that was used by the INS to hold female internees and married couples without childen, most of whom were Japanese or German Latin Americans. Many of the internees were subsquently repatried to Japan or Germany on exchange ships. Those remaining in custody when the camp closed in June 1945 were transferred to Crystal City.","Located southeast of Dallas, this site was originally a federal prison for women.",343,,550,"Seagoville, Texas",Texas,32.65530261156702,-96.56743493496022,"Courtesy of the UT Institute of Texan Cultures at San Antonio, Warden's Office, Federal Correctional Institution, Seagoville, Texas, No. 085-0911. Accessed from: https://encyclopedia.densho.org/sources/en-denshopd-i115-00005-1/"
eais,Immigration Detention Station,49,Sharp Park,https://encyclopedia.densho.org/Sharp_Park_(detention_facility)/,published,"March 30, 1942",1946,"INS detention site in the San Francisco Bay Area that held Issei from the region throughout 1942 who had been rounded up after the attack on Pearl Harbor, many of whom were transferred from the San Francisco Immigration Station building on Silver Avenue. Sharp Park later served as a holding station for Japanese Latin Americans starting in 1943 and also held persons of German and Italian ancestry.",Located near Sharp Park in Northern California; set on a former state relief camp.,379,1942-07-14,,"Sharp Park, California",California,37.62585872058601,-122.4756468796522,Courtesy of  U.S. Citizenship and Immigration Services website. Accessed from: https://gaic.info/internment-camps/temporary-detention-facilities/sharp-park-and-801-silver-avenue-temporary-detention-stations-san-francisco-california/
wra,Temporary Assembly Center,50,Owens Valley,https://encyclopedia.densho.org/Owens_Valley_(detention_facility)/,published,"March 21, 1942","June 2, 1942","The Owens Valley Reception Center—later the Manzanar Reception Center—was the first of the WCCA-administered short-term detention camps to open when the first ""volunteers"" from the Los Angeles area arrived on March 21, 1942. Having arrived just a week after construction began, these and later ""volunteers"" played a major role in building much of the camp. The vast majority of Manzanar's population came from various parts of greater Los Angeles. Located in the Owens Valley in east-central California at an elevation of about 3,900 feet, Manzanar took its name from the Spanish word for the apple orchards that remained as a remnant of an unsuccessful agricultural development of the early 20th century. Manzanar transferred from WCCA to WRA administration as of June 1, 1942; as a result, Manzanar's inmate population did not have the ""typical"" assembly center experience of having to move to a second concentration camp after having just gotten settled in a first.",Located on the site that later became the WRA-run incarceration camp Manzanar.,9666,,9666,"Manzanar, California",California,36.72506040964566,-118.1460059323886,"Courtesy of WRA no. B-133, War Relocation Authority Photographs of Japanese-American Evacuation and Resettlement, The Bancroft Library, University of California, Berkeley. Accessed from: https://encyclopedia.densho.org/sources/en-owensvalley-1/"
wra,Temporary Assembly Center,51,Parker Dam,https://encyclopedia.densho.org/Parker_Dam_(detention_facility)/,published,"May 8, 1942","May 31, 1942","Established as one of two ""receptions centers"" (the other was the Owens Valley Reception Center, aka Manzanar) in the period when the army envisioned a ""voluntary exodus"" from the exclusion zone, the camp evolved into the ""Colorado River Relocation Center,"" aka Poston.",Located on the site that later became the WRA-run incarceration camp Poston.,0,,,"Parker, Arizona",Arizona,33.98762619602396,-114.4012194032189,"Courtesy of Fred Clark photograph, Bancroft Library, University of California, Berkeley. Accessed from: https://www.nps.gov/parkhistory/online_books/anthropology74/ce10.htm"
